horseName,TotalRaces,InjuryRisk
Absolute Fantasy,27,0
Cauda Equina,27,0
Classy Cleo,27,0
Dahlidya,26,0
Distinctive Dream,28,0
Eastern Trumpeter,26,0
Facile Tigre,26,0
Juwwi,37,0
Kosevo,27,0
Lost Spirit,25,0
Marengo I,33,0
Nineacres,35,0
Palacegate Touch,28,0
Redoubtable I,27,0
Sharp Hat,26,0
Topton,27,0
Torrent,28,0
Treasure Touch,27,0
Western Command,32,0
Whizz Kid,28,0
